3H4 5  1 1.5                                                                    
4H1 1  0 1.3 1.5 1.9                                                            
4H1 5  0 2.2 1.9                                                                
4H1 5  1 1.6                                                                    
4H2 2  0 1.2 1.6 1.7                                                            
4H2 1  0 2.2                                                                    
4H2 1  1 1.9                                                                    
4H2 7  0 1.4 1.9                                                                
4H2 7  1 1.7 1.9                                                                
4H2 3  0 1.3                                                                    
4H3 7  0 5.2 2.3 2.4 3.5 2.6 1.9                                                
4H3 5  0 3.7 1.9                                                                
4H3 4  0 1.4 1.7                                                                
4H3 7  1 1.2 1.3 1.5                                                            
4H3 5  1 1.4                                                                    
4H3 1  1 1.3                                                                    
4H3 9  0 1.7                                                                    
4H3 2  0 1.5                                                                    
4H3 9  1 1.2                                                                    
4H3 1  0 1.5                                                                    
4H4 25 0 12.2 3.3 1.4                                                           
4H4 3  0 1.2 1.3 1.8                                                            
4H4 2  1 1.3                                                                    
4H4 4  0 1.6 1.8 1.9                                                            
4H4 1  1 1.2 1.7 1.9                                                            
4H4 5  1 1.5                                                                    
4H4 7  0 1.3 1.4 1.8                                                            
4H4 25 1 2.2                                                                    
4H4 7  1 1.4                                                                    
4H4 1  0 1.5                                                                    
5H1 1  0 1.4 1.6                                                                
5H1 5  0 2.2 1.3                                                                
5H1 8  0 3.2 2.3 2.4 1.5                                                        
5H1 2  0 1.5 1.8 1.9                                                            
5H1 7  0 1.3                                                                    
5H1 2  1 1.3                                                                    
5H2 1  1 1.7 1.8                                                                
5H2 3  0 27.2 9.3 14.4 6.5 2.6 1.9                                              
5H2 7  1 2.6 2.7 2.8                                                            
5H2 1  0 1.7                                                                    
5H2 7  0 1.4 1.5 1.6 1.8                                                        
5H2 8  0 1.2 1.3 1.4 2.5                                                        
5H2 3  1 1.6                                                                    
5H2 5  1 1.3 2.4 1.8                                                            
5H2 6  1 1.6                                                                    
5H2 2  0 1.2                                                                    
5H3 7  0 6.2 1.3 1.4 1.5                                                        
5H3 1  0 1.2                                                                    
5H3 2  0 1.2                                                                    
5H3 5  0 1.6 1.8                                                                
5H4 2  0 1.3                                                                    
5H4 3  0 17.2 11.3 10.4 6.5 1.6 3.7 3.8 1.9                                     
5H4 4  0 1.4 1.8                                                                
5H4 3  1 3.2 1.3 1.5                                                            
5H4 1  1 2.2                                                                    
5H4 7  0 1.6 3.7 2.8                                                            
5H4 7  1 1.5                                                                    
5H4 9  0 1.2                                                                    
5H4 1  0 1.2                                                                    
3I1 10 0 2.2 5.3 2.4 3.5 2.6 4.7                                                
3I1 10 1 2.4 2.7                                                                
3I1 1  0 2.2 1.6                                                                
3I1 7  0 2.3 2.4 2.7                                                            
3I1 1  0 2.2 1.6                                                                
3I1 7  0 2.3 2.4 3.5 1.6 1.8                                                    
3I1 5  0 2.3 1.4                                                                
3I1 7  1 1.2                                                                    
3I1 2  0 1.8                                                                    
3I1 3  0 1.2 1.9                                                                
3I2 2  0 3.5 1.6 1.7 2.9                                                        
3I2 3  0 2.2 1.4 1.6                                                            
3I2 5  0 1.5                                                                    
3I2 4  0 1.2 1.3 2.4 3.5 2.6                                                    
3I2 5  1 1.7 1.9                                                                
3I2 1  1 1.5                                                                    
3I2 2  1 1.3 1.4                                                                
3I2 10 1 1.9                                                                    
3I2 7  1 1.4                                                                    
3I3 1  0 1.3 1.5                                                                
3I3 7  0 8.2 6.3 1.4 2.5 2.6 1.8                                                
3I3 10 0 1.2 3.3                                                                
3I3 7  1 2.5                                                                    
3I3 3  1 1.3                                                                    
3I3 3  0 1.4                                                                    
3I3 16 0 1.3                                                                    
3I4 1  0 2.4 1.3 2.4 1.5                                                        
3I4 10 0                                                                        
