YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2004,3E1,3,1,129,1,0,1,0
2004,3E1,4,7,316,2,0,0,0
2004,3E1,4,5,833,0,1,0,0
2004,3F4,1,1,129,1,2,0,0
2004,3F4,1,7,316,0,2,0,0
2004,3F4,2,3,012,0,8,0,0
2004,3F4,3,1,129,6,0,0,0
2004,3F4,3,7,316,5,0,0,0
2004,3F4,4,7,316,1,0,0,0
2004,3F2,1,7,316,17,0,0,0
2004,3F2,2,7,316,9,0,0,0
2004,3F2,3,3,012,1,7,2,0
2004,3F2,3,1,129,0,1,0,0
2004,3F2,3,7,316,6,0,0,0
2004,3F2,3,5,833,0,1,0,0
2004,3F2,4,7,316,6,0,0,0
2004,3F2,4,7,316,0,1,0,0
2004,3E4,1,10,379,0,2,0,0
2004,3E4,1,4,261,3,6,0,0
2004,3E4,1,1,129,1,1,2,0
2004,3E4,1,2,097,0,1,0,0
2004,3E4,1,7,316,1,0,0,0
2004,3E4,2,1,129,0,0,1,0
2004,3E4,2,3,012,0,1,0,0
2004,3E4,3,7,316,3,0,0,0
2004,3E4,3,2,097,1,0,0,0
2004,3E4,3,1,129,0,1,0,0
2004,3E4,3,4,261,1,1,0,0
2004,3E4,4,1,129,3,1,0,0
2004,3E4,4,7,316,4,0,0,0
2004,4E3,1,0,000,0,0,0,0
2004,4E3,2,7,316,3,0,0,0
2004,4E3,3,7,316,7,0,0,0
2004,4E3,4,1,129,0,1,0,0
2004,4E3,4,7,316,1,0,0,0
2004,7G1,1,1,129,8,0,0,0
2004,7G1,1,25,585,0,1,0,0
2004,7G1,1,7,316,1,0,0,0
2004,7G1,2,1,129,6,4,0,0
2004,7G1,2,7,316,1,0,0,0
2004,7G1,3,1,129,7,5,0,0
2004,7G1,3,7,316,1,0,0,0
2004,7G1,4,1,129,3,2,0,0
2004,7G1,4,25,585,1,0,0,0
2004,7G1,4,7,316,1,0,0,0
2004,7F3,1,7,316,3,0,0,0
2004,7F3,1,9,375,1,1,0,0
