Quadrat PlotSpec A B C D
6F31 2 2.2 1.3
6F31 25 2.1 1.2
6F32 2 1.2
6F32 1 2.1
6F33 25 1.2
6F33 7 2.1
6F34 7 2.1
6F34 25 1.1
6F34 1 2.1
6F11 7 2.1 1.2
6F11 1 2.1
6F12 7 2.1
6F13 7 1.1
6F14 1 1.1
6F14 3 1.1
6G41 7 3.1
6G41 8 2.1
6G41 2 1.1
6G42 7 4.1
6G43 2 2.2
6G43 25 1.1
6G43 1 2.2
6G44 25 1.1
6G44 1 3.1 2.2
6G44 7 1.1
6G31 1 1.1 3.2 2.3
6G31 7 2.1
6G31 3 1.2
6G32 1 6.2
6G32 3 1.1 2.2 1.3
6G32 7 1.1
6G33 1 4.2 4.3 5.4
6G33 7 2.1
6G34 1 3.1 19.2
6G34 7 2.1
4G11 1 1.1 1.2
4G11 5 1.2
4G11 7 1.1
4G11 5.1 8.2
4G12 2 1.2
4G12 7 6.1
4G12 5 1.1
4G13 7 5.1
4G13 3 1.1
4G14 1 1.2
4G14 3 2.2 1.3
4G21 1 4.2 2.3
4G22 3 1.2 1.3
4G22 1 1.3
4G22 7 1.1
4G22 7.1 10.2
4G23 1 2.1 1.1 1.3 1.4
4G23 7 8.1
4G24 7 7.1 3.2 1.2
5G11 1 5.1
5G11 7 1.1
5G11 4 1.1
5G11 2 1.2
5G12 7 2.1
5G12 1 2.2
5G13 7 1.1
5G13 1 2.2
5G14 0 0
6G21 7 4.1
6G22 1 3.1 1.2 3.3
6G22 7 4.1 1.2
6G23 7 3.1
6G23 1 2.1 1.2 1.4
6G23 6 1.2
6G24 7 6.1
6G24 3 1.2
4H11 7 1.1 1.2
4H12 1 7.1 3.2
4H12 2 1.3
4H12 7 1.1
4H13 7 2.1 1.2
4H13 2 1.3
4H14 7 3.1
4H31 7 4.1
4H32 7 3.1
4H32 4 2.1
4H32 1 1.1
4H32 2 1.2
4H33 2 1.3
4H33 7 1.1
4H34 7 2.1
8F41 3 2.1 6.2 1.3
8F41 7 1.1
8F43 7 1.1
8F43 3 2.2
8F44 7 1.1
8F44 1 2.1
8F44 7.1 7.2
8F31 1 5.1
8F31 7 2.1
8F32 3 1.1
8F32 1 1.1
8F33 7 1.1
8F33 3 2.1
8F34 3 1.1
8F11 7 3.1 1.2
8F11 1 6.1 1.2
8F12 1 9.1
8F12 7 11.1
8F12 3 1.2 2.3
8F13 7 5.1 1.2
8F13 1 14.1 1.2
8F14 1 3.1
8F14 7 6.1
8F21 1 5.1
8F21 7 8.1
8F22 7 3.1
8F22 1 8.1
8F22 3 1.1 1.3
8F23 7 1.1
8F24 1 15.1
8E31 7 22.1
8E31 1 2.1
8E32 1 12.1 8.2
8E32 7 32.1
8E33 7 12.1
8E33 1 3.1
8E33 3 1.1
8E34 1 7.1
8E34 7 37.1 1.2
8E34 3 1.1 4.2
8D11 7 1.1
8D11 1 2.1 1.2
8D12 1 9.1 1.2
8D12 6 2.1
8D12 7 1.1
8D13 1 1.2 1.3
8D13 7 2.1
8D14 7 1.1
8D14 1 2.1 4.2
8E11 7 16.1
8E12 7 9.1
8E13 7 23.1
8E14 7 20.1
8D31 1 1.2
8D31 7 3.1 2.2
8D32 7 3.1
8D33 7 4.1 3.2
8D34 7 5.1
7C11 7 1.1
7C12 7 9.1 3.2
7C13 7 7.1 1.2
7C13 2 3.2
7C13 1 1.1 2.2
7C14 7 6.1
7C14 1 1.1 2.2
8C21 1 2.1
8C21 7 1.1
8C22 7 2.1
8C22 5 1.2
8C23 7 1.1
8C24 7 2.1 4.2
8C24 1 2.1
8C41 7 7.1
8C41 3 1.1
8C42 7 4.1
8C42 1 1.2 2.3
8C42 6 1.2
8C43 7 4.1 2.2
8C43 6 1.2
8C43 1 1.1
8C44 6 1.2
8C44 7 2.1
8C44 5 1.2
8D21 7 82.1
8D21 1 2.1 1.2
8D21 3 1.1 3.2
8D22 3 3.1 3.2
8D23 7 82.1
8D23 1 7.1 3.2
8D24 6 2.1 4.2
8D24 1 138.1 6.2
8D41 1 9.1 4.2
