YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1984,5G3,2,3,012,0,0,2,0
1984,5G3,2,5,833,0,1,0,0
1984,5G3,3,7,316,21,0,0,0
1984,5G3,3,1,129,2,0,0,0
1984,5G3,3,3,012,0,1,0,0
1984,5G3,4,7,316,2,0,0,0
1984,5G3,4,1,129,0,3,0,0
1984,5G4,1,5,833,1,2,0,0
1984,5G4,1,1,129,0,3,0,0
1984,5G4,1,7,316,2,0,0,0
1984,5G4,1,8,371,0,2,0,0
1984,5G4,2,5,833,0,2,0,0
1984,5G4,2,1,129,0,1,0,0
1984,5G4,2,7,316,1,0,0,0
1984,5G4,2,3,012,2,5,0,0
1984,5G4,3,5,833,1,8,0,0
1984,5G4,3,1,129,0,1,0,0
1984,5G4,3,7,316,3,0,0,0
1984,5G4,4,1,129,3,2,0,0
1984,5G4,4,7,316,1,0,0,0
1984,5G4,4,5,833,1,1,0,0
1984,3H1,1,7,316,7,0,0,0
1984,3H1,1,5,833,1,1,0,0
1984,3H1,1,4,261,1,0,0,0
1984,3H1,2,7,316,3,0,0,0
1984,3H1,2,1,129,1,0,0,0
1984,3H1,2,5,833,0,1,0,0
1984,3H1,2,5,833,0,1,0,0
1984,3H1,3,7,316,19,2,0,0
1984,3H1,3,1,129,3,4,0,0
1984,3H1,3,4,261,0,1,0,0
1984,3H1,3,2,097,1,1,0,0
1984,3H1,4,7,316,10,0,0,0
1984,3H1,4,1,129,3,0,0,0
1984,3H1,4,2,097,1,0,0,0
1984,3H1,4,5,833,2,0,0,0
1984,3H2,1,0,000,0,0,0,0
1984,3H2,2,7,316,4,5,5,3
1984,3H2,2,1,129,1,0,0,0
1984,3H2,3,7,316,6,0,0,0
1984,3H2,3,4,261,1,0,0,0
1984,3H2,3,2,097,2,0,0,0
1984,3H2,3,1,129,1,0,0,0
1984,3H2,4,0,000,0,0,0,0
1984,3H3,1,1,129,1,1,0,0
1984,3H3,1,7,316,1,0,1,0
1984,3H3,2,5,833,0,1,0,0
1984,3H3,3,1,129,1,0,1,0
1984,3H3,3,4,261,0,0,1,0
1984,3H3,4,1,129,0,3,0,0
1984,3H4,1,3,012,0,0,1,0
1984,3H4,1,7,316,4,0,0,0
1984,3H4,2,25,585,1,0,0,0
1984,3H4,2,2,097,0,1,0,0
1984,3H4,2,7,316,3,0,0,0
1984,3H4,3,7,316,3,0,0,0
1984,3H4,3,1,129,1,1,0,0
1984,3H4,4,3,012,0,0,1,0
1984,3H4,4,7,316,1,0,0,0
1984,3H4,4,8,371,0,1,0,0
1984,3H4,4,25,585,0,2,0,0
1984,4H1,1,0,000,0,0,0,0
1984,4H1,2,7,316,3,0,0,0
1984,4H1,2,1,129,1,2,0,0
1984,4H1,3,0,000,0,0,0,0
1984,4H1,4,0,000,0,0,0,0
1984,4H2,1,1,129,0,0,4,0
1984,4H2,1,7,316,5,0,1,0
1984,4H2,2,7,316,15,5,0,0
1984,4H2,2,5,833,0,2,0,0
