5E2A.1   5.0   3.3
5E2A.2   7.0   5.1   7.2   6.3   2.4
5E2A.2   8.0   3.3
5E2A.2  16.0   2.3
5E2A.2   3.0   1.2
5E2A.2   7.1   3.2   4.4
5E2A.3   8.0   1.1   1.2   1.3
5E2A.3   7.0   1.2
5E2A.4   7.0   1.1   5.2   1.3
5E2A.4   9.0   7.3   1.4

