YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1997,H18,3,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,H18,1,7.1,316,0,4,0,0,0,0,0,0,0,0,0
1997,H18,4,4,261,0,1,0,0,0,0,0,0,0,0,0
1997,H18,4,1,129,0,4,0,1,0,0,0,0,0,0,0
1997,H18,4,3,012,0,1,0,0,0,0,0,0,0,0,0
1997,H18,4,7,316,0,6,6,5,3,0,0,0,0,0,0
1997,C41,1,3,012,0,2,0,0,0,0,0,0,0,0,0
1997,C41,1,25,585,0,4,2,4,1,0,0,0,0,0,0
1997,C41,1,2,097,0,0,0,0,0,0,0,0,0,0,1
1997,L04,9,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,L04,7,1,129,0,2,0,0,0,0,0,0,0,0,1
1997,L04,7,5,833,0,1,0,0,1,0,0,0,0,0,0
1997,L04,7,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,L04,7,7,316,0,1,0,0,0,0,0,0,0,0,0
1997,L04,6,5,833,0,0,0,0,1,0,0,0,0,0,0
1997,L04,6,5,833,2,2,0,0,0,0,0,0,0,0,0
1997,L04,10,5,833,2,2,0,0,0,0,0,0,0,0,0
1997,L04,2,5,833,1,1,0,0,0,0,0,0,0,0,0
1997,H17,3,1,129,0,7,0,0,0,0,0,0,0,0,0
1997,H17,3,7.1,316,0,4,1,0,0,0,0,0,0,0,0
1997,H17,3,25,585,0,1,1,1,0,0,0,0,0,0,0
1997,H17,1,7.1,316,0,5,2,0,0,0,0,0,0,0,0
1997,H17,1,11,531,0,1,0,0,0,0,0,0,0,0,0
1997,H55,1,1,129,0,1,0,0,0,0,0,0,0,0,0
1997,H55,1,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,H55,1,7,316,0,2,0,0,0,0,0,0,0,0,0
1997,C30,3,2,097,0,10,0,0,0,0,0,0,0,0,0
1997,C30,3,3,012,0,2,0,0,0,0,0,0,0,0,0
1997,C30,4,3,012,0,1,0,1,2,0,0,0,0,0,0
1997,C30,4,2,097,0,1,0,0,0,0,0,0,0,0,0
1997,C30,1,3,012,0,2,0,0,0,0,1,1,0,1,0
