YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,H27,1,9,375,1,2,2,1,1,0,0,0,0,0,0
2002,H27,1,5,833,1,2,0,1,0,1,0,1,0,0,0
2002,H27,1,6,802,3,1,0,0,0,0,0,0,0,0,0
2002,H27,1,6,802,1,1,1,2,0,0,0,0,0,0,0
2002,H27,1,1,129,1,1,0,0,0,0,0,0,0,0,0
2002,H12,7,1,129,1,3,0,0,1,1,0,0,0,0,0
2002,H12,7,5,833,2,1,0,0,0,0,0,0,0,0,0
2002,H12,7,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,H12,7,6,802,1,0,0,1,0,0,0,0,0,0,0
2002,H12,7,7.1,316,0,11,0,0,0,0,0,0,0,0,0
2002,H12,7,3,012,0,1,0,0,0,0,0,0,0,0,0
2002,H12,7,7,316,0,1,0,0,0,0,0,0,0,0,0
2002,H12,7,15,746,2,1,0,0,0,0,0,0,0,0,0
2002,H12,4,1,129,0,3,0,0,2,0,0,1,0,0,0
2002,H12,4,1,129,2,0,0,3,0,1,1,0,0,0,0
2002,H12,4,6,802,3,1,0,0,0,0,0,0,0,0,0
2002,H12,4,6,802,2,0,0,1,0,0,0,0,0,0,0
2002,H12,4,5,833,3,4,0,0,0,0,0,0,0,0,0
2002,H12,4,5,833,1,1,0,0,0,0,0,0,0,0,0
2002,H12,1,5,833,1,1,0,1,0,0,0,0,0,0,0
2002,H12,1,5,833,2,4,0,0,0,0,0,0,0,0,0
2002,H12,1,6,802,1,6,0,2,0,0,0,0,0,0,0
2002,H12,1,4,261,0,4,0,0,0,0,0,0,0,0,0
2002,H12,1,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,H12,1,9,375,1,1,1,0,0,0,0,0,0,0,0
2002,H12,1,1,129,0,5,0,0,0,0,0,0,0,0,0
2002,H12,1,8,371,1,2,0,0,0,0,0,0,0,0,0
2002,H12,1,1,129,1,0,0,0,0,1,0,0,0,0,0
2002,H12,1,9,375,2,1,0,0,0,0,0,0,0,0,0
2002,H11,1,12,541,3,3,0,0,0,0,0,0,0,0,0
2002,H11,1,12,541,1,1,5,3,1,2,0,0,0,0,0
2002,H11,1,8,371,1,1,2,1,1,0,0,0,0,0,0
2002,H11,1,8,371,2,2,0,0,0,0,0,0,0,0,0
2002,H11,1,9,375,1,1,0,1,0,1,0,0,0,0,0
2002,H11,2,2,097,0,0,0,1,0,1,2,0,0,0,0
2002,H11,2,1,129,0,3,0,0,0,0,0,0,0,0,0
2002,H11,2,8,371,0,2,0,0,0,0,0,0,0,0,0
2002,H11,2,3,012,0,2,0,2,1,0,0,0,0,1,0
2002,H11,2,7,316,2,1,0,0,0,0,0,0,0,0,0
2002,H11,3,8,371,1,16,3,1,0,0,0,0,0,0,0
