YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1997,5J1,1,129,0,3,2,0,0,0,1,0,0
1997,5J1,3,012,0,1,1,0,0,0,0,0,0
1997,5J1,9,375,0,0,0,0,0,0,1,0,0
1997,5J1,7,316,0,7,4,2,1,0,1,0,0
1997,5J2,20,126,0,0,0,0,0,0,0,1,0
1997,5J2,1,129,0,3,4,0,0,0,1,1,0
1997,5J2,5,833,0,1,0,2,0,0,1,0,0
1997,5J4,7,316,0,3,1,0,0,0,0,0,0
1997,5J4,5,833,0,0,0,0,0,2,0,1,0
1997,5J4,3,012,0,0,0,0,1,0,0,0,0
1997,6D2,7,316,0,3,1,0,2,0,0,0,0
1997,6D2,5,833,0,1,1,0,0,1,0,0,0
1997,6D2,1,129,0,1,0,0,0,0,0,0,0
1997,6D3,3,012,0,0,1,0,0,0,0,0,0
1997,6D3,5,833,0,0,0,0,0,0,0,1,0
1997,6D3,7,316,0,1,0,0,0,0,0,0,0
1997,6D3,8,371,0,1,0,0,0,0,1,1,0
1997,6D4,7,316,0,1,0,1,1,2,1,1,0
1997,6D4,5,833,0,0,1,0,0,0,0,0,0
1997,6D4,6,802,0,0,0,1,0,0,0,0,0
1997,6E1,5,833,0,2,0,0,0,0,0,0,0
1997,6E1,25,585,0,2,4,1,1,0,0,0,0
1997,6E1,7,316,0,1,2,0,0,0,0,0,0
1997,6E1,8,371,0,0,1,0,0,1,0,1,0
1997,6E3,5,833,0,0,3,1,5,1,0,0,0
1997,6E3,4,261,0,0,0,1,0,0,0,0,0
1997,6E4,5,833,0,0,0,4,3,4,1,0,2
1997,6E4,7,316,0,1,1,1,0,0,0,1,0
1997,6E4,4,261,0,2,0,0,0,1,0,0,0
1997,6E4,2,097,0,0,0,0,0,1,0,0,0
1997,6F1,3,012,0,0,1,0,0,1,0,0,0
1997,6F1,5,833,0,1,0,0,1,0,0,0,0
1997,6F2,2,097,0,1,1,0,0,0,0,1,1
1997,6F2,7,316,0,0,1,0,0,0,0,0,0
1997,6F2,5,833,0,0,0,2,0,2,1,0,0
1997,6F3,25,585,0,1,2,5,3,0,0,1,0
1997,6F3,5,833,0,0,0,0,1,0,0,0,0
1997,6F3,6,802,0,0,0,0,0,0,0,0,1
1997,6F3,4,261,0,1,0,0,0,0,0,0,0
1997,6G1,1,129,0,0,1,0,0,0,0,0,0
1997,6G1,6,802,0,0,1,0,0,0,0,0,1
1997,6G1,3,012,0,0,0,0,2,0,0,0,0
1997,6G1,7,316,0,1,0,1,2,0,0,1,1
1997,6G1,2,097,0,1,1,0,0,0,0,0,0
1997,6G2,1,129,0,12,12,7,3,2,0,1,0
1997,6G2,3,012,0,1,0,1,1,1,0,0,1
1997,6G2,7,316,0,7,4,2,0,0,1,1,0
1997,6G2,9,375,0,0,0,1,0,0,0,0,0
1997,6G2,2,097,0,1,0,1,0,0,0,0,0
1997,6G2,5,833,0,0,0,0,0,0,0,0,1
1997,6G3,3,012,0,2,4,3,1,1,1,0,0
1997,6G3,1,129,0,2,3,3,0,0,0,0,0
1997,6G3,7,316,0,0,0,0,0,0,0,1,0
1997,6G3,2,097,0,0,1,0,0,0,0,0,0
1997,6G4,3,012,0,2,3,5,0,1,0,0,1
1997,6G4,2,097,0,0,0,1,0,0,0,0,0
1997,6G4,7,316,0,0,0,0,1,1,0,0,0
1997,6G4,25,585,0,1,0,0,0,0,0,0,0
1997,6H2,1,129,0,7,6,4,3,0,1,1,0
